meeting_id,uid,city,meeting_year,agenda_code,summary,word_count,transcript_char_length,processing_timestamp
10,LongBeachCC_09182018_18-0820,LongBeachCC,2018,18-0820,Recommendation to receive supporting documentation into the record conclude the public hearing and grant an Entertainment Permit with conditions on the application of Shamrock Hospitality Group LLC dba Muldoons Saloon 5646 Paramount Blvd for Entertainment Without Dancing  District 8,1889,10328,2/19/2026 17:24
11,DenverCityCouncil_02032020_20-0071,DenverCityCouncil,2020,20-0071,A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls The Committee approved filing this item at its meeting on 12220,1563,8824,2/19/2026 17:24
12,DenverCityCouncil_09232019_19-0776,DenverCityCouncil,2019,19-0776,A bill for an ordinance vacating a portion of the rightofway adjacent to 2099 Chestnut Place bounded by West 29th Avenue and Chestnut Place and Division Street with reservations Vacates a portion of the right of way adjacent to 2099 Chestnut Place bounded by West 29th Avenue Chestnut Place and Division Street with reservations in Council District 9 The Committee approved filing this item at its meeting on 81319,4086,21641,2/19/2026 17:24
13,DenverCityCouncil_01212020_19-0913,DenverCityCouncil,2020,19-0913,A bill for an ordinance designating 4345 West 46th Avenue as a structure for preservation Approves an individual landmark designation for property located at 4345 West 46th Avenue in Council District 1 The Committee approved filing this item at its meeting on 91019,695,3874,2/19/2026 17:24
14,LongBeachCC_06092015_15-0522,LongBeachCC,2015,15-0522,Recommendation to adopt Specifications No RFQ PW14033 and award a contract to HDR Engineering Inc a Long Beachbased business for engineering and architectural design services for the final design bid documents construction bidding and support for the Shoemaker Bridge replacement project in an amount not to exceed 4700000 for a period of three years with the option to extend the contract for two additional oneyear periods and authorize City Manager or designee to execute all documents necessary to enter into the contract including any necessary amendments thereto regarding the term andor scope of services  Districts 12,2219,12116,2/19/2026 17:24
15,DenverCityCouncil_08242015_15-0522,DenverCityCouncil,2015,15-0522,A bill for an ordinance approving a proposed Amendatory Lease Agreement between the City and County of Denver and the Colorado Symphony Association for offices used by the Colorado Symphony Association FINANCE  SERVICES Extends a lease agreement with the Colorado Symphony Association by fifteen months to 123116 to occupy 1245 Champa Street and raises rent from one dollar annually to 5000 per month plus reimbursement of operating expenses FINAN20131101701 The last regularly scheduled Council meeting within the 30day review period is on 815 The Committee approved filing this bill at its meeting on 72815,232,1243,2/19/2026 17:24
16,DenverCityCouncil_08192019_19-0745,DenverCityCouncil,2019,19-0745,A bill for an ordinance approving Service Plans for the creation of six 6 Title 32 Metropolitan Districts the Loretto Heights Metropolitan District Nos 15 and the Loretto Heights Programming Metropolitan District Approves six separate Service Plans for the formation and establishment of six Title 32 districts Loretto Heights Metropolitan District No 1 Loretto Heights Metropolitan District No 2 Loretto Heights Metropolitan District No 3 Loretto Heights Metropolitan District No 4 Loretto Heights Metropolitan District No 5 and Loretto Heights Programming Metropolitan District in Council District 2 The Committee approved filing this item at its meeting on 73019,319,1752,2/19/2026 17:24
17,DenverCityCouncil_08102015_15-0522,DenverCityCouncil,2015,15-0522,A bill for an ordinance approving a proposed Amendatory Lease Agreement between the City and County of Denver and the Colorado Symphony Association for offices used by the Colorado Symphony Association FINANCE  SERVICES Extends a lease agreement with the Colorado Symphony Association by fifteen months to 123116 to occupy 1245 Champa Street and raises rent from one dollar annually to 5000 per month plus reimbursement of operating expenses FINAN20131101701 The last regularly scheduled Council meeting within the 30day review period is on 815 The Committee approved filing this bill at its meeting on 72815,2971,15653,2/19/2026 17:24
18,BostonCC_03092022_2022-0259,BostonCC,2022,2022-0259,On the message and Ordinance referred on February 9 2022 Docket 0259 Amending City of Boston Code Ordinances Chapter XV Section X and Establishing the Boston Fair Chance Act the committee submitted a report recommending the Ordinance ought to pass in a new draft The report was accepted the Ordinance was passed in a new draft,861,5057,2/19/2026 17:24
19,LongBeachCC_02192019_18-0820,LongBeachCC,2019,18-0820,Recommendation to receive supporting documentation into the record conclude the public hearing and grant an Entertainment Permit with conditions on the application of Shamrock Hospitality Group LLC dba Muldoons Saloon 5646 Paramount Blvd for Entertainment Without Dancing  District 8,1403,7970,2/19/2026 17:24
20,DenverCityCouncil_02102020_20-0071,DenverCityCouncil,2020,20-0071,A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls The Committee approved filing this item at its meeting on 12220,5927,32767,2/19/2026 17:24
21,DenverCityCouncil_09162019_19-0913,DenverCityCouncil,2019,19-0913,A bill for an ordinance designating 4345 West 46th Avenue as a structure for preservation Approves an individual landmark designation for property located at 4345 West 46th Avenue in Council District 1 The Committee approved filing this item at its meeting on 91019,251,1389,2/19/2026 17:24
22,SeattleCityCouncil_07122022_CF 314495,SeattleCityCouncil,2022,CF 314495,Report of the City Clerk on the Certificate of Sufficiency for Initiative No 134 concerning approval voting for Mayor City Attorney and City Councilmember primary elections,422,2538,2/19/2026 17:24
23,DenverCityCouncil_12072015_15-0868,DenverCityCouncil,2015,15-0868,Approves the sale of cityowned land for 500000 to Recreation Equipment Inc REI which has been leasing the land at 1416 Platte Street in Council District 1 for parking since 2000  The purchase price is based on an appraisal FINAN 20152336600 FINANCE  SERVICES Approves the sale of cityowned land for 500000 to Recreation Equipment Inc REI which has been leasing the land at 1416 Platte Street in Council District 1 for parking since 2000 FINAN 20152336600 The last regularly scheduled Council meeting within the 30day review period is on 122115  The Committee approved filing this bill by consent on 111915,1170,6421,2/19/2026 17:24
24,DenverCityCouncil_02242020_20-0071,DenverCityCouncil,2020,20-0071,A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls A bill for an ordinance amending section 867 of the Denver Revised Municipal Code requiring a provisional breedrestricted license for owners of pit bulls The Committee approved filing this item at its meeting on 12220,6172,32767,2/19/2026 17:24
25,LongBeachCC_09082015_15-0868,LongBeachCC,2015,15-0868,Recommendation to declare ordinance relating to the temporary limitation of certain construction and development activities in the R1L zone in the Los Cerritos and Virginia Country Club areas of the City in order to foster and promote neighborhood character stabilization in said area declaring the urgency thereof and declaring that this ordinance shall take effect immediately read and adopted as read  Ordinance No ORD150024  Citywide,368,2132,2/19/2026 17:24
26,DenverCityCouncil_09232019_19-0913,DenverCityCouncil,2019,19-0913,A bill for an ordinance designating 4345 West 46th Avenue as a structure for preservation Approves an individual landmark designation for property located at 4345 West 46th Avenue in Council District 1 The Committee approved filing this item at its meeting on 91019,256,1428,2/19/2026 17:24
27,LongBeachCC_09012015_15-0868,LongBeachCC,2015,15-0868,Recommendation to declare ordinance relating to the temporary limitation of certain construction and development activities in the R1L zone in the Los Cerritos and Virginia Country Club areas of the City in order to foster and promote neighborhood character stabilization in said area declaring the urgency thereof and declaring that this ordinance shall take effect immediately read and adopted as read  Ordinance No ORD150024  Citywide,2007,11089,2/19/2026 17:24
28,LongBeachCC_08132019_19-0745,LongBeachCC,2019,19-0745,Recommendation to authorize City Manager or designee to increase Munis Contract No 3190000026 formerly Blanket Purchase Order No BPLB19000026 with GSSi Inc dba General Security Service of Wilmington CA for providing security guard services by 454500 with a 10 percent contingency of 45450 for a revised total contract amount not to exceed 999900 and extend the term to March 9 2020  Citywide,164,834,2/19/2026 17:24
29,DenverCityCouncil_12062021_21-1182,DenverCityCouncil,2021,21-1182,A bill for an ordinance amending article XI of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories Amends Article IX of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories The Committee approved filing this item at its meeting on 111721,3177,16740,2/19/2026 17:24
30,DenverCityCouncil_09302019_19-0776,DenverCityCouncil,2019,19-0776,A bill for an ordinance vacating a portion of the rightofway adjacent to 2099 Chestnut Place bounded by West 29th Avenue and Chestnut Place and Division Street with reservations Vacates a portion of the right of way adjacent to 2099 Chestnut Place bounded by West 29th Avenue Chestnut Place and Division Street with reservations in Council District 9 The Committee approved filing this item at its meeting on 81319,6149,32767,2/19/2026 17:24
31,DenverCityCouncil_09172018_18-0820,DenverCityCouncil,2018,18-0820,A bill for an ordinance changing the zoning classification for 3901 Elati Street in Globeville Approves an official map amendment to rezone property at 3901 Elati Street from IA UO2 to CMX20 industrial to commercial mixeduse in Council District 9 The Committee approved filing this item at its meeting on 8718,2216,12323,2/19/2026 17:24
32,DenverCityCouncil_11122019_19-0913,DenverCityCouncil,2019,19-0913,A bill for an ordinance designating 4345 West 46th Avenue as a structure for preservation Approves an individual landmark designation for property located at 4345 West 46th Avenue in Council District 1 The Committee approved filing this item at its meeting on 91019,397,2247,2/19/2026 17:24
33,LongBeachCC_10042016_16-0898,LongBeachCC,2016,16-0898,Recommendation to receive supporting documentation into the record conclude the hearing and grant an Entertainment Permit with conditions on the application of Parq Hospitality LLC dba Playa Amor 6527 E Pacific Coast Highway for entertainment without dancing  District 3,823,4395,2/19/2026 17:24
34,BostonCC_04132022_2022-0259,BostonCC,2022,2022-0259,On the message and Ordinance referred on February 9 2022 Docket 0259 Amending City of Boston Code Ordinances Chapter XV Section X and Establishing the Boston Fair Chance Act the committee submitted a report recommending the Ordinance ought to pass in a new draft The report was accepted the Ordinance was passed in a new draft,641,3753,2/19/2026 17:24
35,DenverCityCouncil_10312016_16-0898,DenverCityCouncil,2016,16-0898,A bill for an ordinance designating certain property as being required for public use and authorizing use and acquisition thereof by negotiation or through condemnation proceedings of fee simple and other interests including any rights and interests related or appurtenant to such property as needed for the National Western Center Project Adds two land parcels inadvertently omitted from the legal description in the Land Acquisition Ordinance passed in December 2015 granting authority to acquire them as needed for the National Western Center redevelopment in Council District 9 The last regularly scheduled Council meeting within the 30day review period is on 11716 The Committee approved filing this bill by consent on 10416,805,4225,2/19/2026 17:24
36,DenverCityCouncil_11292021_21-1182,DenverCityCouncil,2021,21-1182,A bill for an ordinance amending article XI of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories Amends Article IX of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories The Committee approved filing this item at its meeting on 111721,5907,32767,2/19/2026 17:24
37,SeattleCityCouncil_07142022_CF 314495,SeattleCityCouncil,2022,CF 314495,Report of the City Clerk on the Certificate of Sufficiency for Initiative No 134 concerning approval voting for Mayor City Attorney and City Councilmember primary elections,196,1135,2/19/2026 17:24
38,DenverCityCouncil_11072016_16-0898,DenverCityCouncil,2016,16-0898,A bill for an ordinance designating certain property as being required for public use and authorizing use and acquisition thereof by negotiation or through condemnation proceedings of fee simple and other interests including any rights and interests related or appurtenant to such property as needed for the National Western Center Project Adds two land parcels inadvertently omitted from the legal description in the Land Acquisition Ordinance passed in December 2015 granting authority to acquire them as needed for the National Western Center redevelopment in Council District 9 The last regularly scheduled Council meeting within the 30day review period is on 11716 The Committee approved filing this bill by consent on 10416,1051,5625,2/19/2026 17:24
39,DenverCityCouncil_08172015_15-0522,DenverCityCouncil,2015,15-0522,A bill for an ordinance approving a proposed Amendatory Lease Agreement between the City and County of Denver and the Colorado Symphony Association for offices used by the Colorado Symphony Association FINANCE  SERVICES Extends a lease agreement with the Colorado Symphony Association by fifteen months to 123116 to occupy 1245 Champa Street and raises rent from one dollar annually to 5000 per month plus reimbursement of operating expenses FINAN20131101701 The last regularly scheduled Council meeting within the 30day review period is on 815 The Committee approved filing this bill at its meeting on 72815,4456,23266,2/19/2026 17:24
40,LongBeachCC_01222019_18-0820,LongBeachCC,2019,18-0820,Recommendation to receive supporting documentation into the record conclude the public hearing and grant an Entertainment Permit with conditions on the application of Shamrock Hospitality Group LLC dba Muldoons Saloon 5646 Paramount Blvd for Entertainment Without Dancing  District 8,1159,6073,2/19/2026 17:24
41,DenverCityCouncil_12132021_21-1182,DenverCityCouncil,2021,21-1182,A bill for an ordinance amending article XI of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories Amends Article IX of chapter 24 DRMC to ban the sale of flavored tobacco products and accessories The Committee approved filing this item at its meeting on 111721,2627,14444,2/19/2026 17:24
42,LongBeachCC_08202019_19-0745,LongBeachCC,2019,19-0745,Recommendation to authorize City Manager or designee to increase Munis Contract No 3190000026 formerly Blanket Purchase Order No BPLB19000026 with GSSi Inc dba General Security Service of Wilmington CA for providing security guard services by 454500 with a 10 percent contingency of 45450 for a revised total contract amount not to exceed 999900 and extend the term to March 9 2020  Citywide,517,2795,2/19/2026 17:24
43,LongBeachCC_11092021_21-1182,LongBeachCC,2021,21-1182,Recommendation to receive and file a report on the Clean Pathway Community Partnership between the City of Long Beach and Southern California Edison  Citywide,5379,31047,2/19/2026 17:24
44,DenverCityCouncil_08262019_19-0776,DenverCityCouncil,2019,19-0776,A bill for an ordinance vacating a portion of the rightofway adjacent to 2099 Chestnut Place bounded by West 29th Avenue and Chestnut Place and Division Street with reservations Vacates a portion of the right of way adjacent to 2099 Chestnut Place bounded by West 29th Avenue Chestnut Place and Division Street with reservations in Council District 9 The Committee approved filing this item at its meeting on 81319,857,4725,2/19/2026 17:24
45,DenverCityCouncil_10242016_16-0898,DenverCityCouncil,2016,16-0898,A bill for an ordinance designating certain property as being required for public use and authorizing use and acquisition thereof by negotiation or through condemnation proceedings of fee simple and other interests including any rights and interests related or appurtenant to such property as needed for the National Western Center Project Adds two land parcels inadvertently omitted from the legal description in the Land Acquisition Ordinance passed in December 2015 granting authority to acquire them as needed for the National Western Center redevelopment in Council District 9 The last regularly scheduled Council meeting within the 30day review period is on 11716 The Committee approved filing this bill by consent on 10416,825,4461,2/19/2026 17:24
46,LongBeachCC_02042020_20-0071,LongBeachCC,2020,20-0071,Recommendation to declare ordinance amending the Use District Map of the City of Long Beach as said Map has been established and amended by amending portions of Part 5 of said Map from Park P to Belmont Pier Planned Development District PD2 read and adopted as read  District 3,554,2985,2/19/2026 17:24
47,DenverCityCouncil_08262019_19-0745,DenverCityCouncil,2019,19-0745,A bill for an ordinance approving Service Plans for the creation of six 6 Title 32 Metropolitan Districts the Loretto Heights Metropolitan District Nos 15 and the Loretto Heights Programming Metropolitan District Approves six separate Service Plans for the formation and establishment of six Title 32 districts Loretto Heights Metropolitan District No 1 Loretto Heights Metropolitan District No 2 Loretto Heights Metropolitan District No 3 Loretto Heights Metropolitan District No 4 Loretto Heights Metropolitan District No 5 and Loretto Heights Programming Metropolitan District in Council District 2 The Committee approved filing this item at its meeting on 73019,5697,32767,2/19/2026 17:24
48,BostonCC_02092022_2022-0259,BostonCC,2022,2022-0259,On the message and Ordinance referred on February 9 2022 Docket 0259 Amending City of Boston Code Ordinances Chapter XV Section X and Establishing the Boston Fair Chance Act the committee submitted a report recommending the Ordinance ought to pass in a new draft The report was accepted the Ordinance was passed in a new draft,914,5274,2/19/2026 17:24
49,BostonCC_06292022_2022-0259,BostonCC,2022,2022-0259,On the message and Ordinance referred on February 9 2022 Docket 0259 Amending City of Boston Code Ordinances Chapter XV Section X and Establishing the Boston Fair Chance Act the committee submitted a report recommending the Ordinance ought to pass in a new draft The report was accepted the Ordinance was passed in a new draft,555,3471,2/19/2026 17:24
50,DenverCityCouncil_11302015_15-0868,DenverCityCouncil,2015,15-0868,Approves the sale of cityowned land for 500000 to Recreation Equipment Inc REI which has been leasing the land at 1416 Platte Street in Council District 1 for parking since 2000  The purchase price is based on an appraisal FINAN 20152336600 FINANCE  SERVICES Approves the sale of cityowned land for 500000 to Recreation Equipment Inc REI which has been leasing the land at 1416 Platte Street in Council District 1 for parking since 2000 FINAN 20152336600 The last regularly scheduled Council meeting within the 30day review period is on 122115  The Committee approved filing this bill by consent on 111915,957,4987,2/19/2026 17:24
51,DenverCityCouncil_08262019_19-0805,DenverCityCouncil,2019,19-0805,A bill for an ordinance establishing the Office of Climate Action Sustainability and Resiliency A bill for an ordinance establishing the Office of Climate Action Sustainability and Resiliency The Committee approved filing this item at its meeting on 81319,434,2423,2/19/2026 17:24
52,DenverCityCouncil_03232020_20-0161,DenverCityCouncil,2020,20-0161,A bill for an ordinance changing the zoning classification for 3201 Curtis Street in Five Points Approves an official map amendment to rezone property from PUD 379 to UMX2x planned development to mixeduse located at 3201 Curtis Street in Council District 9 The Committee approved filing this item at its meeting on 22520,621,3373,2/19/2026 17:24
53,DenverCityCouncil_03312015_15-0056,DenverCityCouncil,2015,15-0056,Rezones property at 195 South Monaco Parkway from ESUDX to SMU3 in Council District 5 NEIGHBORHOODS AND PLANNING Rezones property at 195 South Monaco Parkway from ESUDX to SMU3 in Council District 5 A PUBLIC HEARING WILL BE HELD AT LEAST FOUR WEEKS AFTER PUBLICATION The Committee approved filing this bill at its meeting on 2415,233,1318,2/19/2026 17:24
54,LongBeachCC_05082018_18-0394,LongBeachCC,2018,18-0394,Recommendation to adopt Specifications No RFP AP18033 and award a contract to Swinerton Builders of Los Angeles CA for the design and construction of the Phase II Terminal Area Improvements at the Long Beach Airport in the amount of 58809490 authorize a 15 percent contingency in the amount of 6450000 based on construction value for a total contract amount not to exceed 65259490 authorize City Manager or designee to execute all documents necessary to enter into a contract including any necessary amendments and Increase appropriations in the Airport Fund EF 320 in the Airport Department by 32572824 offset by funds available District 5,3404,18571,2/19/2026 17:24
55,DenverCityCouncil_12192016_16-0919,DenverCityCouncil,2016,16-0919,AS AMENDED a bill for an ordinance amending Article V of Chapter 2 of the Revised Municipal Code pertaining to financial disclosure Revises the Denver Revised Municipal Code regarding financial disclosure including eliminating the requirement that candidates for municipal office make financial disclosures modifying the definition of gift immediate family and officer modifying the date for submitting the annual financial disclosure statement for city officers requiring semiannual gift disclosure reports by officers and annual gift disclosure reports by employees modifying reportable gifts and increasing the reporting threshold from 25 to 50 making the financial and gift reports of officers publicly available online and the gift reports of employees publicly available on request and modifying the remedies for violations of the ordinance The Committee approved filing this bill at its meeting on 112916 Amended 1317 to remove the minimum 50 threshold for reporting gifts in the covered categories resulting in the reporting of all gifts received in the designat,765,3989,2/19/2026 17:24
56,KingCountyCC_02172021_2021-0057,KingCountyCC,2021,2021-0057,AN ORDINANCE relating to fireworks regulations amending Ordinance 3139 Section 601 as amended and KCC 1286500 Ordinance 4461 Section 2 as amended and KCC 2022040 Ordinance 10870 Section 331 as amended and KCC 21A08040 Ordinance 10870 Section 548 as amended and KCC 21A32110 Ordinance 13332 Section 43 as amended and KCC 2710360 and Ordinance 17682 Section 48 as amended and KCC 2710580 adding a new chapter to KCC Title 17 repealing Ordinance 6836 Section 1 and KCC 626010 Ordinance 6836 Section 2 as amended and KCC 626020 Ordinance 6836 Section 3 as amended and KCC 626030 Ordinance 6836 Section 4 as amended and KCC 626040 Ordinance 6836 Section 5 and KCC 626050 Ordinance 6836 Section 6 as amended and KCC 626060 Ordinance 6836 Section 7 as amended and KCC 626070 Ordinance 6836 Section 8 as amended and KCC 626080 Ordinance 6836 Section 9 and KCC 626090 Ordinance 6836 Section 10 and KCC 626100 Ordinance 6836 Section 11 and KCC 626110 and Ordin,4201,23586,2/19/2026 17:24
57,BostonCC_03302022_2022-0314,BostonCC,2022,2022-0314,On the message and order referred on March 2 2022 Docket 0314 for your approval for a short term extension of nine 9 of the fourteen 14 remaining urban renewal plans in Boston the committee submitted a report recommending that the order ought to pass in a new draft Councilor Baker moved for substitution Motion prevailed,2299,13943,2/19/2026 17:24
58,DenverCityCouncil_12032018_18-1075,DenverCityCouncil,2018,18-1075,A bill for an ordinance changing the zoning classification for 4201 East Arkansas Avenue in Virginia Village Approves an official map amendment to rezone property located at 4201 East Arkansas Avenue 4040 East Louisiana Avenue and 1380 South Birch Street from CMPEI2 and SMX5 UO1 UO2 to SMX8 UO2 SMX8 SMX5 SMX3 and SMU3 campus various districts to suburban mixeduse various heights in Council District 6 The Committee approved filing this item at its meeting on 10918,5568,32767,2/19/2026 17:24
59,KingCountyCC_03022022_2021-0467,KingCountyCC,2022,2021-0467,A MOTION requesting the executive establish an equitable development initiative and prepare an implementation plan,5826,32767,2/19/2026 17:24
60,LongBeachCC_09072021_21-0924,LongBeachCC,2021,21-0924,Recommendation to authorize City Manager or designee to execute contract amendments with Anthem Blue Cross the Citys thirdparty administrator for the Preferred Provider Organization PPO and the Health Maintenance Organization HMO group health plans and Medicare Supplement Plan UnitedHealthcare Medicare Advantage PPO Plan Scan Health Plan for the Medicare Advantage Plan and Vision Service Plan VSP for the vision plan CVS Caremark as the Prescription Benefit Manager PBM for the Prescription Drug Plan for the PPO and HMO plans Delta Dental for the feeforservice dental plan DPPO and Delta Dental USA HMO plan The Standard Insurance Company for employerpaid life insurance voluntary life insurance and short and longterm disability insurance Union Mutual Life Insurance Company UNUM through Larry Lambert  Associates Insurance Services for longterm care insurance and implement a contractual agreement with Carrum Health as a thirdparty administrator for eligible surgeries to be performed through a Centers of Excellence facility and any subsequent amendm,165,968,2/19/2026 17:24
61,LongBeachCC_01152019_19-0029,LongBeachCC,2019,19-0029,Recommendation to authorize City Manager or designee to approve Long Beach Energy Resources spending authority on Long Beach Water Department Specifications WD0319 with SullyMiller Contracting Company for street repair services in an amount not to exceed 1000000 for a period of one year with the option to renew for two additional oneyear periods subject to a maximum increase of 10 percent for each renewal period at the discretion of the City Manager  Citywide,303,1705,2/19/2026 17:24
62,LongBeachCC_02182020_20-0112,LongBeachCC,2020,20-0112,Recommendation to declare ordinance amending the Long Beach Municipal Code by amending Sections 863020 863030 863050 and 863070 all relating to prohibiting the use and sale of singleuse food and beverage containers packaging and food service ware made of expanded polystyrene EPS foam rigid polystyrene 6 and nonrecyclable and noncompostable material for prepared food distribution and the distribution of plastic for bioplastic straws read and adopted as read   Citywide,535,2921,2/19/2026 17:24
63,BostonCC_06152022_2022-0185,BostonCC,2022,2022-0185,Petition for a Special Law re An Act Granting the City of Boston the Authority to Provide Legal Voting Rights in Municipal Elections for City of Boston Residents Aged 16 and 17 Years Old,438,2588,2/19/2026 17:24
